p_Sub,p_Par,p_Both,choice
0.0681818181818182,0,0,0
0.0827067669172932,0,0,0
0,0,0,1
0,0,0,0
0.0821917808219178,0,0,1
0,0,0,1
0.11304347826087,0,0,0
0.0342465753424658,0,0,0
0.356164383561644,0,0,1
0,0,0,1
0.13013698630137,0,0,1
0,0,0,0
0.10958904109589,0,0,1
0,0,0,0
0.0684931506849315,0,0,1
0,0,0,0
0.00793650793650794,0,0,1
0.203703703703704,0.0555555555555556,0,0
0.34,0,0,0
0,0.0136986301369863,0,1
0,0,0,0
0,0.264705882352941,0,1
0.157534246575342,0.150684931506849,0.0410958904109589,0
0.598039215686274,0.0294117647058824,0.0294117647058824,1
0,0,0,0
0.287671232876712,0,0,1
0.181818181818182,0,0,0
0,0.1,0,0
0,0,0,1
0,0.10958904109589,0,1
0,0,0,1
0.0666666666666667,0,0,1
0,0,0,1
0.102739726027397,0.0616438356164384,0,0
0,0,0,1
0.04,0,0,1
0,0.00684931506849315,0,1
0,0.116438356164384,0,1
0,0,0,1
0.10958904109589,0,0,1
0,0,0,0
0.0684931506849315,0,0,1
0,0,0,0
0.00793650793650794,0,0,1
0.203703703703704,0.0555555555555556,0,0
0.34,0,0,0
0,0.0136986301369863,0,1
0,0,0,0
0,0.264705882352941,0,1
0.157534246575342,0.150684931506849,0.0410958904109589,0
0.598039215686274,0.0294117647058824,0.0294117647058824,1
0,0,0,0
0.287671232876712,0,0,1
0.181818181818182,0,0,0
0.0410958904109589,0.198630136986301,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,1
0.0616438356164384,0.616438356164384,0.0616438356164384,1
0.226027397260274,0,0,1
0,0,0,1
0.171232876712329,0,0,1
0.173228346456693,0,0,1
0.0547945205479452,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0.0684931506849315,0,0,1
0,0,0,0
0.00793650793650794,0,0,1
0.203703703703704,0.0555555555555556,0,0
0.34,0,0,0
0,0.0136986301369863,0,1
0,0,0,0
0,0.264705882352941,0,1
0.157534246575342,0.150684931506849,0.0410958904109589,0
0.598039215686274,0.0294117647058824,0.0294117647058824,1
0,0,0,0
0.287671232876712,0,0,1
0.181818181818182,0,0,0
0.10958904109589,0,0,0
0,0,0,0
0.0410958904109589,0,0,0
0.284403669724771,0,0,1
0.208791208791209,0,0,1
0,0,0,0
0.0410958904109589,0.0273972602739726,0.0205479452054795,1
0.159420289855072,0,0,1
0,0,0,0
0.26027397260274,0,0,0
0,0,0,1
0,0,0,1
0.10958904109589,0,0,1
0.134751773049645,0,0,0
0.0410958904109589,0,0,1
0,0.0684931506849315,0,0
0.0205479452054795,0.0684931506849315,0,1
0.116438356164384,0.0821917808219178,0,0
0,0,0,1
0,0,0,1
0,0.267123287671233,0,1
0.273972602739726,0,0,0
0.134831460674157,0,0,1
0,0,0,0
0.13013698630137,0,0,0
0.212328767123288,0,0,1
0.0273972602739726,0.0616438356164384,0,0
0.397260273972603,0.0684931506849315,0.0273972602739726,1
0,0,0,0
0.0425531914893617,0.074468085106383,0,0
0,0,0,0
0.0431034482758621,0,0,1
0.13013698630137,0.198630136986301,0,0
0.0342465753424658,0,0,1
0.0684931506849315,0.136986301369863,0,1
0.198630136986301,0.150684931506849,0,1
0.13013698630137,0,0,0
0.184931506849315,0,0,1
0.287671232876712,0,0,0
0,0.356164383561644,0,0
0.00862068965517241,0,0,1
0.246575342465753,0,0,1
0.0479452054794521,0,0,1
0.232876712328767,0,0,1
0,0,0,0
0.205882352941176,0,0,1
0.116438356164384,0.0821917808219178,0,0
0,0,0,1
0,0,0,1
0,0.267123287671233,0,1
0.273972602739726,0,0,0
0.134831460674157,0,0,1
0,0,0,0
0.13013698630137,0,0,0
0.212328767123288,0,0,1
0.0273972602739726,0.0616438356164384,0,0
0.397260273972603,0.0684931506849315,0.0273972602739726,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0.219178082191781,0,0,0
0.198630136986301,0.150684931506849,0,1
0.13013698630137,0,0,0
0.184931506849315,0,0,1
0.287671232876712,0,0,0
0,0.356164383561644,0,0
0.00862068965517241,0,0,1
0.246575342465753,0,0,1
0.0479452054794521,0,0,1
0.232876712328767,0,0,1
0,0,0,0
0.205882352941176,0,0,1
0.116438356164384,0.0821917808219178,0,0
0,0,0,1
0,0,0,1
0,0.267123287671233,0,1
0.273972602739726,0,0,0
0.134831460674157,0,0,1
0,0,0,0
0.13013698630137,0,0,0
0.212328767123288,0,0,1
0.0273972602739726,0.0616438356164384,0,0
0.397260273972603,0.0684931506849315,0.0273972602739726,1
0,0,0,0
0.00684931506849315,0,0,0
0.164383561643836,0,0,0
0.0342465753424658,0.0753424657534247,0.0205479452054795,1
0,0,0,0
0.10958904109589,0.171232876712329,0.0136986301369863,1
0,0,0,0
0.232876712328767,0,0,1
0,0,0,1
0,0,0,0
0.178082191780822,0,0,1
0,0.156716417910448,0,0
0.150684931506849,0,0,1
0.246575342465753,0,0,1
0.0479452054794521,0,0,1
0.232876712328767,0,0,1
0,0,0,0
0.205882352941176,0,0,1
0.116438356164384,0.0821917808219178,0,0
0,0,0,1
0,0,0,1
0,0.267123287671233,0,1
0.273972602739726,0,0,0
0.134831460674157,0,0,1
0,0,0,0
0.13013698630137,0,0,0
0.212328767123288,0,0,1
0.0273972602739726,0.0616438356164384,0,0
0.397260273972603,0.0684931506849315,0.0273972602739726,1
0,0,0,0
0,0.301587301587302,0,1
0,0,0,0
0,0.0847457627118644,0,1
0,0.0821917808219178,0,0
0,0,0,0
0.452054794520548,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.13013698630137,0.0821917808219178,0,1
0,0.137254901960784,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0.0393700787401575,0,0,1
0,0,0,0
0,0,0,0
0.0616438356164384,0,0,1
0,0,0,0
0,0,0,0
0.246575342465753,0.0410958904109589,0,0
0.149532710280374,0,0,1
0.184931506849315,0.273972602739726,0.184931506849315,1
0.0958904109589041,0.157534246575342,0.0410958904109589,0
0,0,0,1
0.0616438356164384,0.164383561643836,0,0
0.397260273972603,0.0684931506849315,0.0273972602739726,1
0,0,0,0
0,0,0,0
0.321100917431193,0,0,0
0.0684931506849315,0.280821917808219,0.0547945205479452,1
0.184931506849315,0,0,0
0.408450704225352,0,0,1
0.780821917808219,0,0,1
0.150684931506849,0,0,0
0,0,0,0
0.26027397260274,0.0616438356164384,0.0616438356164384,0
0.157534246575342,0,0,0
0.226027397260274,0,0,1
0.13013698630137,0.267123287671233,0,0
0,0,0,1
0,0,0,0
0,0,0,1
0.0393700787401575,0,0,1
0,0,0,0
0,0,0,0
0.0616438356164384,0,0,1
0,0,0,0
0,0,0,0
0.246575342465753,0.0410958904109589,0,0
0.149532710280374,0,0,1
0.184931506849315,0.273972602739726,0.184931506849315,1
0.0958904109589041,0.157534246575342,0.0410958904109589,0
0,0,0,1
0.0616438356164384,0.164383561643836,0,0
0.397260273972603,0.0684931506849315,0.0273972602739726,1
0,0,0,0
0,0,0,1
0.162790697674419,0,0,1
0.280821917808219,0,0,1
0.0205479452054795,0,0,1
0.301369863013699,0,0,0
0.123287671232877,0.00684931506849315,0,1
0.321917808219178,0,0,0
0.0205479452054795,0,0,1
0.328767123287671,0,0,1
0.246575342465753,0,0,0
0,0.0958904109589041,0,0
0.13013698630137,0.267123287671233,0,0
0,0,0,1
0,0,0,0
0,0,0,1
0.0393700787401575,0,0,1
0,0,0,0
0,0,0,0
0.0616438356164384,0,0,1
0,0,0,0
0,0,0,0
0.246575342465753,0.0410958904109589,0,0
0.149532710280374,0,0,1
0.184931506849315,0.273972602739726,0.184931506849315,1
0.0958904109589041,0.157534246575342,0.0410958904109589,0
0,0,0,1
0.0616438356164384,0.164383561643836,0,0
0.397260273972603,0.0684931506849315,0.0273972602739726,1
0,0,0,0
0.102739726027397,0,0,0
0.246575342465753,0.13013698630137,0.0136986301369863,1
0.153846153846154,0.492307692307692,0,1
0.0821917808219178,0,0,0
0.335616438356164,0,0,1
0.424657534246575,0.0410958904109589,0,1
0.294520547945205,0,0,0
0.445205479452055,0,0,1
0.184931506849315,0.0410958904109589,0.0342465753424658,1
0.424657534246575,0.0479452054794521,0.0479452054794521,1
0.26027397260274,0.349315068493151,0,0
0.13013698630137,0.267123287671233,0,0
0,0,0,1
0,0,0,0
0,0,0,1
0.0393700787401575,0,0,1
0,0,0,0
0,0,0,0
0.0616438356164384,0,0,1
0,0,0,0
0,0,0,0
0.246575342465753,0.0410958904109589,0,0
0.149532710280374,0,0,1
0.184931506849315,0.273972602739726,0.184931506849315,1
0.0958904109589041,0.157534246575342,0.0410958904109589,0
0,0,0,1
0.0616438356164384,0.164383561643836,0,0
0.397260273972603,0.0684931506849315,0.0273972602739726,1
0,0,0,0
0.328767123287671,0.315068493150685,0.123287671232877,0
0.342465753424658,0.267123287671233,0.13013698630137,0
0.0753424657534247,0.157534246575342,0,1
0.321917808219178,0,0,1
0.0273972602739726,0.253424657534247,0,0
0.424657534246575,0.0410958904109589,0,1
0.294520547945205,0,0,0
0.445205479452055,0,0,1
0.184931506849315,0.0410958904109589,0.0342465753424658,1
0.424657534246575,0.0479452054794521,0.0479452054794521,1
0.26027397260274,0.349315068493151,0,0
0.13013698630137,0.267123287671233,0,0
0,0,0,1
0,0,0,0
0,0,0,1
0.0393700787401575,0,0,1
0,0,0,0
0,0,0,0
0.0616438356164384,0,0,1
0,0,0,0
0,0,0,0
0.246575342465753,0.0410958904109589,0,0
0.149532710280374,0,0,1
0.184931506849315,0.273972602739726,0.184931506849315,1
0.0958904109589041,0.157534246575342,0.0410958904109589,0
0,0,0,1
0.0616438356164384,0.164383561643836,0,0
0.397260273972603,0.0684931506849315,0.0273972602739726,1
0,0,0,0
0,0,0,1
0.114503816793893,0.0305343511450382,0,1
0,0,0,1
0,0.280821917808219,0,1
0.39041095890411,0.232876712328767,0.0821917808219178,0
0.184931506849315,0,0,1
0.36986301369863,0.00684931506849315,0.00684931506849315,0
0.445205479452055,0,0,1
0.184931506849315,0.0410958904109589,0.0342465753424658,1
0.424657534246575,0.0479452054794521,0.0479452054794521,1
0.26027397260274,0.349315068493151,0,0
0.13013698630137,0.267123287671233,0,0
0,0,0,1
0,0,0,0
0,0,0,1
0.0393700787401575,0,0,1
0,0,0,0
0,0,0,0
0.0616438356164384,0,0,1
0,0,0,0
0,0,0,0
0.246575342465753,0.0410958904109589,0,0
0.149532710280374,0,0,1
0.184931506849315,0.273972602739726,0.184931506849315,1
0.0958904109589041,0.157534246575342,0.0410958904109589,0
0,0,0,1
0.0616438356164384,0.164383561643836,0,0
0.397260273972603,0.0684931506849315,0.0273972602739726,1
0,0,0,0
0,0,0,0
0.0753424657534247,0,0,1
0,0.285714285714286,0,1
0.0479452054794521,0.253424657534247,0,1
0,0,0,0
0,0.589041095890411,0,1
0,0,0,0
0.123287671232877,0,0,1
0.246575342465753,0.86986301369863,0.246575342465753,0
0.301369863013699,0.438356164383562,0.294520547945205,0
0.0330578512396694,0.206611570247934,0,1
0.0684931506849315,0.438356164383562,0.0684931506849315,0
0.0196078431372549,0,0,1
0.0503597122302158,0.424460431654676,0.0287769784172662,1
0.404109589041096,0,0,0
0.0393700787401575,0,0,1
0,0,0,0
0,0,0,0
0.0616438356164384,0,0,1
0,0,0,0
0,0,0,0
0.246575342465753,0.0410958904109589,0,0
0.149532710280374,0,0,1
0.184931506849315,0.273972602739726,0.184931506849315,1
0.0958904109589041,0.157534246575342,0.0410958904109589,0
0,0,0,1
0.0616438356164384,0.164383561643836,0,0
0.397260273972603,0.0684931506849315,0.0273972602739726,1
0,0,0,0
0,0,0,1
0.512,0,0,1
0.0273972602739726,0,0,0
0.1953125,0.1015625,0,0
0.308219178082192,0,0,1
0,0.486301369863014,0,1
0,0.0616438356164384,0,1
0.123287671232877,0,0,1
0.246575342465753,0.86986301369863,0.246575342465753,0
0.301369863013699,0.438356164383562,0.294520547945205,0
0.0330578512396694,0.206611570247934,0,1
0.0684931506849315,0.438356164383562,0.0684931506849315,0
0.0196078431372549,0,0,1
0.0503597122302158,0.424460431654676,0.0287769784172662,1
0.404109589041096,0,0,0
0.0393700787401575,0,0,1
0,0,0,0
0,0,0,0
0.0616438356164384,0,0,1
0,0,0,0
0,0,0,0
0.246575342465753,0.0410958904109589,0,0
0.149532710280374,0,0,1
0.184931506849315,0.273972602739726,0.184931506849315,1
0.0958904109589041,0.157534246575342,0.0410958904109589,0
0,0,0,1
0.0616438356164384,0.164383561643836,0,0
0.397260273972603,0.0684931506849315,0.0273972602739726,1
0,0,0,0
0,0,0,0
0.219178082191781,0.424657534246575,0.089041095890411,1
0,0.164383561643836,0,1
0,0.288888888888889,0,1
0.315068493150685,0.328767123287671,0.102739726027397,1
0.0753424657534247,0.226027397260274,0.0410958904109589,0
0,0,0,0
0,0.624,0,0
0.0185185185185185,0,0,1
0,0.191780821917808,0,0
0,0,0,1
0.0273972602739726,0.301369863013699,0.0273972602739726,1
0.0196078431372549,0,0,1
0.0503597122302158,0.424460431654676,0.0287769784172662,1
0.404109589041096,0,0,0
0.0393700787401575,0,0,1
0,0,0,0
0,0,0,0
0.0616438356164384,0,0,1
0,0,0,0
0,0,0,0
0.246575342465753,0.0410958904109589,0,0
0.149532710280374,0,0,1
0.184931506849315,0.273972602739726,0.184931506849315,1
0.0958904109589041,0.157534246575342,0.0410958904109589,0
0,0,0,1
0.0616438356164384,0.164383561643836,0,0
0.397260273972603,0.0684931506849315,0.0273972602739726,1
0,0,0,0
0.04,0,0,1
0.363013698630137,0.136986301369863,0,1
0,0.09375,0,0
0.117647058823529,0,0,1
0,0,0,1
0,0.0136986301369863,0,0
0.0547945205479452,0.164383561643836,0.00684931506849315,1
0.04,0.2,0,0
0,0,0,1
0.253424657534247,0,0,1
0,0.15625,0,0
0.47887323943662,0.422535211267606,0.359154929577465,0
0.0588235294117647,0,0,0
0.136986301369863,0,0,0
0.0205479452054795,0,0,1
0,0,0,1
0,0,0,1
0.123287671232877,0,0,1
0,0,0,1
0,0,0,1
0.0136986301369863,0,0,1
0,0,0,0
0.0843373493975904,0,0,1
0,0.032520325203252,0,0
0.410958904109589,0,0,1
0,0,0,1
0.0616438356164384,0.164383561643836,0,0
0.397260273972603,0.0684931506849315,0.0273972602739726,1
0,0,0,0
0.0616438356164384,0.0547945205479452,0,1
0.136986301369863,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
0.144329896907216,0,0,1
0.102739726027397,0.0479452054794521,0,0
0.0547945205479452,0,0,1
0.116438356164384,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0.0571428571428571,0,0,0
0.173076923076923,0,0,1
0,0,0,0
0.201923076923077,0,0,1
0,0,0,0
0.102739726027397,0,0,0
0.506849315068493,0,0,0
0.0821917808219178,0,0,1
0,0,0,0
0,0,0,1
0.0618556701030928,0,0,0
0.0547945205479452,0,0,0
0.404109589041096,0,0,0
0,0,0,1
0,0,0,0
0.430232558139535,0,0,1
0.30188679245283,0,0,0
0,0,0,1
0,0,0,0
0.12962962962963,0,0,1
0.046875,0,0,1
0.0306122448979592,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0.205479452054795,0.253424657534247,0,0
0,0.267123287671233,0,1
0.417808219178082,0.0205479452054795,0,1
0,0,0,0
0,0,0,1
0.16504854368932,0,0,0
0.229508196721311,0,0,0
0.123287671232877,0,0,0
0,0,0,1
0.198630136986301,0.171232876712329,0.0273972602739726,1
0.36986301369863,0.157534246575342,0,0
0.308219178082192,0.0753424657534247,0,0
0.335616438356164,0.171232876712329,0.136986301369863,1
0,0.39041095890411,0,1
0.569620253164557,0,0,0
0.26027397260274,0.917808219178082,0.191780821917808,1
0.315068493150685,0.191780821917808,0.0821917808219178,0
0.102739726027397,0,0,0
0.506849315068493,0,0,0
0.0821917808219178,0,0,1
0,0,0,0
0,0,0,1
0.0618556701030928,0,0,0
0.0547945205479452,0,0,0
0.404109589041096,0,0,0
0,0,0,1
0,0,0,0
0.430232558139535,0,0,1
0.30188679245283,0,0,0
0,0,0,1
0,0,0,0
0.12962962962963,0,0,1
0.046875,0,0,1
0.0306122448979592,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0.397260273972603,0,0,1
0.10958904109589,0,0,0
0.417808219178082,0.0205479452054795,0,1
0,0,0,0
0,0,0,1
0.16504854368932,0,0,0
0.229508196721311,0,0,0
0.123287671232877,0,0,0
0,0,0,1
0.198630136986301,0.171232876712329,0.0273972602739726,1
0.36986301369863,0.157534246575342,0,0
0.308219178082192,0.0753424657534247,0,0
0.335616438356164,0.171232876712329,0.136986301369863,1
0,0.39041095890411,0,1
0.569620253164557,0,0,0
0.26027397260274,0.917808219178082,0.191780821917808,1
0.315068493150685,0.191780821917808,0.0821917808219178,0
0.102739726027397,0,0,0
0.506849315068493,0,0,0
0.0821917808219178,0,0,1
0,0,0,0
0,0,0,1
0.0618556701030928,0,0,0
0.0547945205479452,0,0,0
0.404109589041096,0,0,0
0,0,0,1
0,0,0,0
0.430232558139535,0,0,1
0.30188679245283,0,0,0
0,0,0,1
0,0,0,0
0.12962962962963,0,0,1
0.046875,0,0,1
0.0306122448979592,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0.184931506849315,0.328767123287671,0.10958904109589,1
0.342592592592593,0.0833333333333333,0,0
0.133333333333333,0.133333333333333,0,1
0,0.089041095890411,0,0
0,0,0,1
0.246575342465753,0,0,0
0.10958904109589,0,0,1
0.356164383561644,0,0,0
0.280821917808219,0.136986301369863,0.0136986301369863,1
0,0.438356164383562,0,1
0,0,0,0
0,0,0,1
0,0,0,1
0.349315068493151,0.315068493150685,0.232876712328767,1
0.0342465753424658,0,0,1
0.164948453608247,0,0,1
0.232876712328767,0,0,0
0,0,0,1
0.506849315068493,0,0,0
0.0821917808219178,0,0,1
0,0,0,0
0,0,0,1
0.0618556701030928,0,0,0
0.0547945205479452,0,0,0
0.404109589041096,0,0,0
0,0,0,1
0,0,0,0
0.430232558139535,0,0,1
0.30188679245283,0,0,0
0,0,0,1
0,0,0,0
0.12962962962963,0,0,1
0.046875,0,0,1
0.0306122448979592,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0.301369863013699,0.23972602739726,0.13013698630137,0
0.342592592592593,0.0833333333333333,0,0
0.133333333333333,0.133333333333333,0,1
0,0.089041095890411,0,0
0,0,0,1
0.246575342465753,0,0,0
0.10958904109589,0,0,1
0.356164383561644,0,0,0
0.280821917808219,0.136986301369863,0.0136986301369863,1
0,0.438356164383562,0,1
0,0,0,0
0,0,0,1
0,0,0,1
0.349315068493151,0.315068493150685,0.232876712328767,1
0.0342465753424658,0,0,1
0.164948453608247,0,0,1
0.232876712328767,0,0,0
0,0,0,1
0.506849315068493,0,0,0
0.0821917808219178,0,0,1
0,0,0,0
0,0,0,1
0.0618556701030928,0,0,0
0.0547945205479452,0,0,0
0.404109589041096,0,0,0
0,0,0,1
0,0,0,0
0.430232558139535,0,0,1
0.30188679245283,0,0,0
0,0,0,1
0,0,0,0
0.12962962962963,0,0,1
0.046875,0,0,1
0.0306122448979592,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0.171232876712329,0.116438356164384,0,0
0,0.482758620689655,0,1
0,0,0,0
0.23134328358209,0.26865671641791,0,1
0,0,0,0
0.719178082191781,0.445205479452055,0.301369863013699,1
0.0410958904109589,0.315068493150685,0,1
0.0273972602739726,0.164383561643836,0.0273972602739726,1
0.547945205479452,0.102739726027397,0.0136986301369863,0
0.0753424657534247,0,0,1
0.315068493150685,0.308219178082192,0.226027397260274,1
0.136986301369863,0.191780821917808,0.0684931506849315,0
0,0,0,1
0.349315068493151,0.315068493150685,0.232876712328767,1
0.0342465753424658,0,0,1
0.164948453608247,0,0,1
0.232876712328767,0,0,0
0,0,0,1
0.506849315068493,0,0,0
0.0821917808219178,0,0,1
0,0,0,0
0,0,0,1
0.0618556701030928,0,0,0
0.0547945205479452,0,0,0
0.404109589041096,0,0,0
0,0,0,1
0,0,0,0
0.430232558139535,0,0,1
0.30188679245283,0,0,0
0,0,0,1
0,0,0,0
0.12962962962963,0,0,1
0.046875,0,0,1
0.0306122448979592,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,1
0.246575342465753,0.931506849315068,0.246575342465753,1
0,0.0175438596491228,0,0
0.23134328358209,0.26865671641791,0,1
0,0,0,0
0.719178082191781,0.445205479452055,0.301369863013699,1
0.0410958904109589,0.315068493150685,0,1
0.0273972602739726,0.164383561643836,0.0273972602739726,1
0.547945205479452,0.102739726027397,0.0136986301369863,0
0.0753424657534247,0,0,1
0.315068493150685,0.308219178082192,0.226027397260274,1
0.136986301369863,0.191780821917808,0.0684931506849315,0
0,0,0,1
0.349315068493151,0.315068493150685,0.232876712328767,1
0.0342465753424658,0,0,1
0.164948453608247,0,0,1
0.232876712328767,0,0,0
0,0,0,1
0.506849315068493,0,0,0
0.0821917808219178,0,0,1
0,0,0,0
0,0,0,1
0.0618556701030928,0,0,0
0.0547945205479452,0,0,0
0.404109589041096,0,0,0
0,0,0,1
0,0,0,0
0.430232558139535,0,0,1
0.30188679245283,0,0,0
0,0,0,1
0,0,0,0
0.12962962962963,0,0,1
0.046875,0,0,1
0.0306122448979592,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0,0.116438356164384,0,1
0,0.568493150684932,0,0
0.136986301369863,0,0,0
0.157534246575342,0,0,1
0.0342465753424658,0.267123287671233,0,1
0.719178082191781,0.445205479452055,0.301369863013699,1
0.0410958904109589,0.315068493150685,0,1
0.0273972602739726,0.164383561643836,0.0273972602739726,1
0.547945205479452,0.102739726027397,0.0136986301369863,0
0.0753424657534247,0,0,1
0.315068493150685,0.308219178082192,0.226027397260274,1
0.136986301369863,0.191780821917808,0.0684931506849315,0
0,0,0,1
0.349315068493151,0.315068493150685,0.232876712328767,1
0.0342465753424658,0,0,1
0.164948453608247,0,0,1
0.232876712328767,0,0,0
0,0,0,1
0.506849315068493,0,0,0
0.0821917808219178,0,0,1
0,0,0,0
0,0,0,1
0.0618556701030928,0,0,0
0.0547945205479452,0,0,0
0.404109589041096,0,0,0
0,0,0,1
0,0,0,0
0.430232558139535,0,0,1
0.30188679245283,0,0,0
0,0,0,1
0,0,0,0
0.12962962962963,0,0,1
0.046875,0,0,1
0.0306122448979592,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0.315068493150685,1,0.315068493150685,0
0.198630136986301,1,0.198630136986301,1
0.431506849315068,0,0,1
0.157534246575342,0,0,1
0.0342465753424658,0.267123287671233,0,1
0.719178082191781,0.445205479452055,0.301369863013699,1
0.0410958904109589,0.315068493150685,0,1
0.0273972602739726,0.164383561643836,0.0273972602739726,1
0.547945205479452,0.102739726027397,0.0136986301369863,0
0.0753424657534247,0,0,1
0.315068493150685,0.308219178082192,0.226027397260274,1
0.136986301369863,0.191780821917808,0.0684931506849315,0
0,0,0,1
